input,gold,category
Permission is permission! 😂😂😂,Permission is permission! (face with tears of joyface with tears of joyface with tears of joy),encrypted
"Mubihugu bimwe bimwe vyashize hamwe, nka Reta Zunze Ubumwe hamwe na Canada, ikori kumushahara rirakurwako hompi kurwego rw'ishirahamwe no kurwego rwo mukibano, kuburyo urugero n'ibice vy'amakori birashobora guhinduka kuva mukarere ku akandi.","In some federal countries, such as the United States and Canada, income tax is levied both at the federal level and at the local level, so the rates and brackets can vary from region to region.",encrypted
the top of the tower filled m2ORTiB6xzMK32YDpscsS9+XnQqgR2jWgZ8LEqz33NU= anticipation as he,the top of the tower filled with anticipation as he,encrypted
観光やビジネスで短期滞在するのであればビザがいらない場合もありますが、留学生として渡航する場合は、一般的にカジュアルな観光客として渡航するよりも長期滞在が必要となります。,"While you may not need a visa for short visits to certain countries as a tourist or for business, going there as an international student generally requires a longer stay than going there just as a casual tourist.",encrypted
आपण एखाद्या अलायन्समधून आपली फ्रिक्वेंट फ्लायर एयरलाईन काळजीपूर्वक निवडली पाहिजे.,You should choose your Frequent Flyer airline in an alliance carefully.,encrypted
Last day to vote for  🌸🌺🌹. Keep Voting 🌺.   🚨 …,Last day to vote for (cherry blossomhibiscusrose). Keep Voting (hibiscus). (police car light) …,encrypted
gone John felt honorbound B86uKEhJbr4CjMNil6usdfhnPFO1g6JCnUWBOoosj88= return B86uKEhJbr4CjMNil6usdfhnPFO1g6JCnUWBOoosj88= captivity in England,gone John felt honorbound to return to captivity in England,encrypted
from the census ezM+0ZZRkP3c/9zFN9pcaJiYeTtl5IObpFhKPRf7iDo= Irish,from the census werent Irish,encrypted
many more people f/yCYFDbEOSR/xgT6uJ7jhI18VcWbxzHAn0YMjlTLhs= there,many more people are there,encrypted
Yumu was killed by the proMongol QVOTd755RgvsgKcCe79yibXhYurDYfG2m6QKGtLOTVw= using the Sambyeolcho,Yumu was killed by the proMongol faction using the Sambyeolcho,encrypted
"लोकं खुर्च्यांनी काचेवर प्रहार करत होते, पंरतु तरीदेखील खिडक्या अतूट होत्या.","People were hitting the panes with chairs, but the windows were unbreakable.",encrypted
of its return between 1813 and s69Zd7ia6Re9iyILLhWV/uoRuzVaTrg3/p4trwMNYm4= It was abolished,of its return between 1813 and 1820 It was abolished,encrypted
"रात्रिक स्लीपर ट्रेन सभ में, कंडक्टर द्वारा पासपोर्ट एकत्र कएल जा सकैत अछि ताकि अहाँकक नींद बाधित नहि हुए।","On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.",encrypted
scored the final U7/RB8WMw3poP2748JgUaOWKcpmmRoYSgyy8OJeBbpo= of,scored the final touchdown of,encrypted
"सॅन फ्रान्सिस्को हे कोरियन, थाई, भारतीय आणि जपानी अशा इतर आशियाई पाककृतींसाठी देखील देशातील 1 सर्वोत्कृष्ट ठिकाण आहे.","San Francisco is also one of the best places in the nation for other Asian cuisine: Korean, Thai, Indian, and Japanese.",encrypted
lead when Aqib Talib intercepted a 0KEwooukYFbVfzdZxaARb5MgXSwTHvuOCHxZ29pKnFw= from Matthew Stafford,lead when Aqib Talib intercepted a pass from Matthew Stafford,encrypted
"Vyongeye, mu mihingo ishushe usanga udukoko dutera indwara tugwira ningoga tukanaramba tutari mu mubiri.","Also, in warmer climates bacteria both grow more quickly and survive longer outside the body.",encrypted
would continue for nearly three centuries nqo+5grz/h7M4Ftg0+v6DZVTYoOP7gDZoIM68syKpNw= would not be,would continue for nearly three centuries and would not be,encrypted
His smile when exo-l was mentioned I literally uwu-ed out loud 😭😭😭,His smile when exo-l was mentioned I literally uwu-ed out loud (loudly crying faceloudly crying faceloudly crying face),encrypted
Damn … sympathies out to Pop 😥,Damn … sympathies out to Pop (sad but relieved face),encrypted
Census and 147 from two or M2TF9J4muh5jIi1sK3k1Syx816ur8W2/6VDg1Hi9Ctk= races 191 of,Census and 147 from two or more races 191 of,encrypted
I really want some wine 😩,I really want some wine (weary face),encrypted
"फ्नोम क्रोम, सिएम रिपच्या नैऋत्येस १२ किमी वर असणारे डोंगर माथ्यावरील हे मंदिर ९व्या शतकात, राजा यासोवर्मन यांच्या शासनकाळात बांधण्यात आले होते.","Phnom Krom, 12 km southwest of Siem Reap. This hilltop temple was built at the end of the 9th century, during the reign of King Yasovarman.",encrypted
the enemy forces The most realistic n53anlBgz7ZA86wTEXkg1yaJ5QhXW+y9b6XQ7/avAgQ= strength figures seem,the enemy forces The most realistic troop strength figures seem,encrypted
Necesito un 🔌 en footlockers,Necesito un (electric plug) en footlockers,encrypted
longest TD pass 2bNzszL2MT0ZjtjhZ22B7Qv6dJ0duFbgVcCJktJdmbM= many,longest TD pass How many,encrypted
for an Interconference duel with the jg9N32lVaAqb8aL3/ngK7s1jgpsZSu/ogeLKOJzkBoU= In the first,for an Interconference duel with the Jaguars In the first,encrypted
Maori masha ni Great Fleet a Polynesia kaw na bu htawt wa nna Moriori kaw na New Zealand de hkai nmai hte seng ai uhpung hpe hpaw ning htan ma ai gaw myit ningmu kaw na myit jasat de gaw shachyaw ma ai.,"The theory then established the idea that the Maori people migrated from Polynesia in a Great Fleet and took New Zealand from the Moriori, establishing an agricultural society.",encrypted
"Gridley shing nrai, Stark gaw nhpan a shawng kaw pe 100 (meter 30) daram nga ai hpundung hpe tawn da nna, dinggrin hpyen dap ni n lai dingsa kadai n-gap na matu matsun ai.",Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.,encrypted
Look at the reactions from Jcole’s listening party😭,Look at the reactions from Jcole’s listening party (loudly crying face),encrypted
and Moss hooking up with each bSpJwyXHFS24M/19B9EhjrkAQpTikMLro62ahmIlhgQ= again on a,and Moss hooking up with each other again on a,encrypted
"Ikivumbuzi ni inkingi nyamukuru y' umuyaga uzunguruka ku nguvu zikeya, co cikwegeramwo umuyaga ugikikije hama kikawuduza hejuru.","A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.",encrypted
Q isso Juan ❤❤❤,Q isso Juan (red heartred heartred heart),encrypted
クック諸島は15の島からなり、島に都市はあません。主な島はラロトンガ島とアイトゥタキ島です。,The Cook Islands do not have any cities but are composed of 15 different islands. The main ones are Rarotonga and Aitutaki.,encrypted
Every time I pull up to Vic crib i take nap and today I fell asleep with his dog 😬,Every time I pull up to Vic crib i take nap and today I fell asleep with his dog (grimacing face),encrypted
many percent were dFzNxOdCABM7GhoT2SWbFsiB4jf2IqGxSMvH5dRQ2WE= Polish,many percent were not Polish,encrypted
got an 8yard touchdown run and 6xXVFuiCFkmIlANgZgjJqS1PWLKPPXFz97TOhzmMJig= a 2yard touchdown,got an 8yard touchdown run and completed a 2yard touchdown,encrypted
最後にトルコのダンスチーム「ファイヤー・オブ・アナトリア」が「トロイ」を披露しました。,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".",encrypted
But they fell behind with QB NDcVc5r8WNC/QyaMQ1CwNRZxuxktbuJ2fFg3iL3sROI= Garrard getting a,But they fell behind with QB David Garrard getting a,encrypted
I’ll be gettin my casket ready 👌🏻,I’ll be gettin my casket ready (OK hand) (light skin tone),encrypted
"all these tweets, have me feeling lonely as hell lmao😂","all these tweets, have me feeling lonely as hell lmao (face with tears of joy)",encrypted
I am so here for the love and support of this tag! 😁💕,I am so here for the love and support of this tag! (beaming face with smiling eyestwo hearts),encrypted
expansion teams during the leagues 1967 sEvfHUpUD2M2QP2enIFC1hEXVPRdDUKZnpxcS0dPptA= Expansion from six,expansion teams during the leagues 1967 NHL Expansion from six,encrypted
"बरसातक मौसम (नवंबर सँ मार्च) में, पानिक मात्रा अधिक होयत आ जलप्रपात बेसी उत्तेजक होयत।","In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",encrypted
"Ihoteli urimwo canke aho watse indaro (kaba ari agahoteli canke umuhana w'umuntu) ushobora gusanga hari wifi canke inyabwonko ifise internet, kandi ibigwati vyose usanga bifise siberi canke ahandi hantu hari wifi rusangi.","Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.",encrypted
"To my precious Jongdae, 10 days from now, I will be able to see you in person. I am very excited as of the moment! 😍😘…","To my precious Jongdae, 10 days from now, I will be able to see you in person. I am very excited as of the moment! (smiling face with heart-eyesface blowing a kiss)…",encrypted
that the Ottoman army should disengage 4RwVxpfbe1t4VIYnKSV7vURvDBBv5tcQo6zS2Pin1M4= return to Istanbul,that the Ottoman army should disengage and return to Istanbul,encrypted
the season and the defense managed jpqjLrGZA2+Ks41DNC6L6JswkW+l9IaoSssNEoRgI/A= shut down the,the season and the defense managed to shut down the,encrypted
"Imbere y' umuzo w' aba Espanyole mukinjana ca 16, uburaruko bwa Shiri bwatwarwa n' aba Inca mugihe abasangwa butaka ba Araucani (Mapuche) baba hagati no m' ubumanuko bwa Shiri.","Before the Spanish arrived in the 16th century, northern Chile was under Inca rule while the indigenous Araucanians (Mapuche) inhabited central and southern Chile.",encrypted
in 1820 This societal tension during VOAM9f8OyyiuZsOyeCPkGspRwkqWoHG452nnbaNdP7Q= period contributed to,in 1820 This societal tension during this period contributed to,encrypted
managed to shut down the giants n5ZMWfSFAXO+QzNT1UJWfCEAOcTdn2g7q48pC8FIlsU= The Eagles advanced,managed to shut down the giants offense The Eagles advanced,encrypted
D-400 🌻🌻🌻🌻 170317 Reminiscence of a Novelist in HONG KONG - Forever (feat.규와이) ▶️ Full HD ver. …,D-400 (sunflowersunflowersunflowersunflower) 170317 Reminiscence of a Novelist in HONG KONG - Forever (feat.규와이) (play button) Full HD ver. …,encrypted
goal from kicker Rian Lindell yet ayUUOa9ocCkqPpeeVs1ccBvVRKf+WxjbVHnbdbbvw2c= Jets answered with,goal from kicker Rian Lindell yet the Jets answered with,encrypted
Stop trying to gas me 🙄 just get that one. Lol.,Stop trying to gas me (face with rolling eyes) just get that one. Lol.,encrypted
as CB Brandon Flowers returned an SbjyiCi2a354brOppTSbmRl24fMxZ5yghVI98po9oJA= 91 yards for,as CB Brandon Flowers returned an interception 91 yards for,encrypted
Nerf double shotgun? omegaLUL nerf triple shotty 😂,Nerf double shotgun? omegaLUL nerf triple shotty (face with tears of joy),encrypted
provinces as a consequence With this Xm+3i260IxPHcN1Icbq/BgXV3qHgAXgb/YnIfkOKxkQ= mind Edward deliberately,provinces as a consequence With this in mind Edward deliberately,encrypted
9yard TD pass The Cowboys responded SNY4CKpksDlItWAJCCNY1kXo8F9/HOL5PWMyF/pCqBc= the 4th quarter,9yard TD pass The Cowboys responded in the 4th quarter,encrypted
"I write songs that have potential (in my mind anyways) to be 🔥, but not even I would listen to my voice recorded 😂","I write songs that have potential (in my mind anyways) to be (fire), but not even I would listen to my voice recorded (face with tears of joy)",encrypted
first touchdown of 1eHX8LriwtJE+jFw7Fla4YFWp6uy8vX8zBRfQ2Haxl4= game,first touchdown of the game,encrypted
A war council was conducted under uzCBhVG2daMljIxiARxcG+kDXmbrMKcdabivx0XiV8E= Vizier Damat Ibrahim,A war council was conducted under Grand Vizier Damat Ibrahim,encrypted
"Hkatawng mali hka ndung kaw na tawng kaba kaw ga hkrat ai, dik hkrat ai ngut nna ndung kaw na gumhtawn dai nrai taleng wa ai rai na re.","At the edge of glaciers huge blocks break loose, fall down and perhaps jump or roll farther from the edge.",encrypted
bridged the realms of earth and eFO240l8vt8/CSJ0qldzHWf2OnCoZE7i4jemi34PgAg= grew he used,bridged the realms of earth and cosmos grew he used,encrypted
from deep within lCqpoY0bOzY+FHQcV12Th2xlgHC9/KWp7X8P4Zh5Cvk= earth,from deep within the earth,encrypted
If i start gaining weight in all the wrong places ima b mad asf 😂😂😂,If i start gaining weight in all the wrong places ima b mad asf (face with tears of joyface with tears of joyface with tears of joy),encrypted
"Uwujejwe ivy'ubucuruzi n’amahinguriro mu Bumwe bwa Afrika, Albert Muchanga, yamenyesheje ko Bénin yari igiye kwinjiramwo.",AU trade and industry commissioner Albert Muchanga announced Benin was to join.,encrypted
"Amaraso ava mu mutima aciye mu miringoti yitwa artères, akagarukayo aciye mu turingoti twitwa veines, Uturingoti dutoyi gusumba twose twitwa capillaires.",Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,encrypted
"East Coast, holla @ us! RETWEET if you're watching  ✊🏾","East Coast, holla @ us! RETWEET if you're watching (raised fist) (medium-dark skin tone)",encrypted
このような地域で販売されている高級ブランドのフレームには、2つの問題が伴うことがあります。1つは偽物、もう1つは本物ですが自国で同じ輸入品を買うよりも高額なものです。,"High-end brand-name frames available in such areas may have two problems; some may be knock-offs, and the real imported ones may be more expensive than at home.",encrypted
man im still crying at this 💀,man im still crying at this (skull),encrypted
with in the t1ajIGTgVP+oDDqCISUkpF1rEn+vrKrzhmq7LttWY5c= How,with in the first How,encrypted
to the top of the tower EQs0m6q+Qqh04JjrbCnUi5Zv+G0FQiW2QHFnvdW8i2Q= with anticipation as,to the top of the tower filled with anticipation as,encrypted
1st half: 29 pts 8 reb 4 ast 12/16 FG The maestro 🎼,1st half: 29 pts 8 reb 4 ast 12/16 FG The maestro (musical score),encrypted
I'm gonna be a very bad girl 😈 I want cock so I'm gonna ride it for my premium members Tonight! You don't want to miss th…,I'm gonna be a very bad girl (smiling face with horns) I want cock so I'm gonna ride it for my premium members Tonight! You don't want to miss th…,encrypted
Mawdaw jahten ni hpe gaw shangna tingrat ni hpe pat na matu lang ai rai nna balik 80 daram gaw kaga lam hku sa lu na matu garum ya nga ai.,Dump trucks were used to block tube entrances and assistance of 80 police were on hand to direct motorists to detours.,encrypted
underbrush she discovered JBFaDVmX1z8zB6tiL0fIIUxNDx23si+jpHhmyVaaUS0= hidden,underbrush she discovered a hidden,encrypted
"Munyandiko ziwe yarakoresha amajambo abavyeyi bamwe bamwe bafata nk'igishegu, kandi yarakoresha namajambo yogutukana ari mwishure.","In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.",encrypted
get the halftime lead as running 3AOIg+SLhvUFHq1eFHUnJBD8W5Ee5FN2Ct5Zb58jXq8= Leon Washington got,get the halftime lead as running back Leon Washington got,encrypted
morning light the L6wrL60tvxbp0hWjEA/Qop9BXt0u5Iwlin4kf4p9cRE= earth,morning light the surrounding earth,encrypted
आतापर्यंत ज्ञात असलेले सर्वात प्राचीन पुस्तक संस्कृत मध्ये लिहिले गेले होते. उपनिषदे रचल्यानंतर संस्कृत उतरंडी मुळे लयाला गेली.,"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.",encrypted
take on the Tampa Bay Buccaneers 95jdCOCyCGsFl4QIRXXo2T90unnbU980Sb/OfmUxZnE= Lions scored first,take on the Tampa Bay Buccaneers The Lions scored first,encrypted
Warning: ANGRY 😡 TWEET There is a special place in hell for people who walk on streets SMOKING &amp; blowing the poison back in…,Warning: ANGRY (enraged face) TWEET There is a special place in hell for people who walk on streets SMOKING &amp; blowing the poison back in…,encrypted
ई बेसी तेजगर नहि होइत अछि एहि कारण पठार पर पहुँचबाक लेल पगडंडी कें ट्रान्सटार्टिक पर्वतक चारू दिस लमगर चक्कर लगाबै पड़ैत अछि।,These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.,encrypted
German How many FFto6Gik6S0x0FQzFM+obrY70ocUPpTUmocLXqIcyD0= percent,German How many in percent,encrypted
"यदि अहाँ मदद करय कें कोशिश मे चोटिल भए जैत थिक, तखन अहाँ केवल मामला सभ कें बदतर बनाबय मे मदद करि सकैत थिक।","If you get hurt trying to help, you may only serve to make matters worse.",encrypted
societal tension during this period contributed 6bqEje0qAMDi7951rEkGW1sAzesv32llsKc9qjaAcJA= the initiation of,societal tension during this period contributed to the initiation of,encrypted
Expansion from six to twelve teams Z7YckKD+ChnhUt+cvyhf8/AIvmr376VqZlI8oa6c4Q0= Penguins played in,Expansion from six to twelve teams The Penguins played in,encrypted
"तथापी काही पुरावे हे सुचवतात के मोरीओरी हा मुख्य भागातील मावरींचा समूह होता जो न्यूझीलंड मधून चाथम बेटावर स्थलांतरीत झाले, त्यांची  स्वत:चे असे वेगळे, शांततापूर्ण संस्कृती विकसित करणारे.","However, new evidence suggests that the Moriori were a group of mainland Maori who migrated from New Zealand to the Chatham Islands, developing their own distinctive, peaceful culture.",encrypted
to riches and break treaties with o0wx3xPjLp54WAiFX+xHSXPVtk+L/93gGIfhXJM0bPM= After the Chichimeca,to riches and break treaties with natives After the Chichimeca,encrypted
HELP to hit 6.0 k  ❗️ SHE is greedy ! SHE is a Princess ! SHE wants to be  SHE wants t…,HELP to hit 6.0 k (red exclamation mark) SHE is greedy ! SHE is a Princess ! SHE wants to be SHE wants t…,encrypted
"Nang sumtsan kasa sha nre yang gaw, mungdan shinggan kaw bungli galaw yang nang nga ai mundan hta hkan nna shang gumhpraw a ahkun hpe jaw bang ra ngu lachyum re.","Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.",encrypted
passed betwwen the RUsPy+9ltiMxw8qlVBnnpaLsfjT19v8gGYpAI5shSTE= dispute,passed betwwen the French dispute,encrypted
Yasss for another Taurus♉️🤟🏾,Yasss for another Taurus (Taurus) (love-you gesture) (medium-dark skin tone),encrypted
Kim Jun How EYt7wQGkMeEcRwnKl6MfdE7aWapabesmalZzvZx1cSA= points,Kim Jun How many points,encrypted
It took me awhile to realize this but I have a making strides 💃🏻💃🏻,It took me awhile to realize this but I have a making strides (woman dancing) (light skin tonewoman dancing) (light skin tone),encrypted
the game How ei6hrTfO5vfCoh414v7iyDdGJqxsn9T+nIXPIMtjXa0= touchdowns,the game How many touchdowns,encrypted
/// Wrap game serious 😤💪🏻 Owner: michaelpda,/// Wrap game serious (face with steam from noseflexed biceps) (light skin tone) Owner: michaelpda,encrypted
field goal and in the third EXOWVhYPAt1ZDbJCf9/X8sC51CLy6lzqgLr6fnqd/tM= with FS Dashon,field goal and in the third quarter with FS Dashon,encrypted
many yards was FRsTCCAtWDoAoUGW7SlwFkMt++RbaLhDPtwaSI81wUc= shortest,many yards was the shortest,encrypted
led to points Although Eli Manning lPQlQ5LipU0dKCMvc3pwlNu/N5IOQFi/hY9/wVjc1ks= the Giants opening,led to points Although Eli Manning and the Giants opening,encrypted
野生動物は写真家にとって最も難しいモチーフの1つであり、撮影には幸運、忍耐、経験、良い機材が揃わなければなりません。,"Wildlife is among the most challenging motifs for a photographer, and needs a combination of good luck, patience, experience and good equipment.",encrypted
"😇 check this out—if i follow you, you get this below(bragging rights, make friends envy u) This not hard. …"," (smiling face with halo) check this out—if i follow you, you get this below(bragging rights, make friends envy u) This not hard. …",encrypted
多くの建物は見た目に美しく、高い建物からの眺めや位置に工夫を凝らした窓からの眺めは、見る者を魅了する美しさがあります。,Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold.,encrypted
TD pass then in the third SDmt3p+NGnEB1Qzv+YfF+fgUznI/YKS35G2AcjdxD98= he found WR,TD pass then in the third quarter he found WR,encrypted
💕 spring summer 18 glasses collection feat. me 💕, (two hearts) spring summer 18 glasses collection feat. me (two hearts),encrypted
"बर्दियाक पूर्व मे अंग्रेज सभ इतालवीक दसम सेनाक इंजीनियर-इन-चीफ, जनरल लास्टुची केँ घात लगाकए पकड़ि लेलनि।","In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.",encrypted
"लोग कुर्सी सभ सें से शीशा सभ पर मारि रहल छलथि, मुदा खिड़की सभ अटूट छल।","People were hitting the panes with chairs, but the windows were unbreakable.",encrypted
that had been C9caReYVdUC3xvrBiV0EtMU8hbVHYgxzH25mr/aBV10= upon,that had been cast upon,encrypted
than families How w8Db9QTMxARfEsgTCmdNFPSKaxNx01qqI1OSMofLjBI= percentage,than families How many percentage,encrypted
シャーロットでは一般的に家族連れがタクシーを利用する習慣はありませんが、状況によっては利用できる場合もあります。,"Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.",encrypted
grew into an obsession until he ljouQvN7RnuFVvpfU7fEyCto8SJd1BH72WV3UlfWjVE= no longer resist,grew into an obsession until he could no longer resist,encrypted
